Latitude,Longitude,Time
41.268656,-82.030819,9/21/13 2:20
41.692544,-81.268718,9/21/13 2:25
41.56694756,-81.38596431,9/21/13 18:00
41.58264711,-81.38596431,9/21/13 18:00
41.59834667,-81.38596431,9/21/13 18:00
41.61404622,-81.38596431,9/21/13 18:00
41.62974578,-81.38596431,9/21/13 18:00
41.64544533,-81.38596431,9/21/13 18:00
41.66114489,-81.38596431,9/21/13 18:00
41.67684444,-81.38596431,9/21/13 18:00
41.692544,-81.38596431,9/21/13 18:00
41.268656,-81.36642326,9/21/13 18:00
41.28435556,-81.36642326,9/21/13 18:00
41.30005511,-81.36642326,9/21/13 18:00
41.31575467,-81.36642326,9/21/13 18:00
41.33145422,-81.36642326,9/21/13 18:00
41.34715378,-81.36642326,9/21/13 18:00
41.36285333,-81.36642326,9/21/13 18:00
41.37855289,-81.36642326,9/21/13 18:00
41.39425244,-81.36642326,9/21/13 18:00
41.409952,-81.36642326,9/21/13 18:00
41.42565156,-81.36642326,9/21/13 18:00
41.44135111,-81.36642326,9/21/13 18:00
41.45705067,-81.36642326,9/21/13 18:00
41.47275022,-81.36642326,9/21/13 18:00
41.48844978,-81.36642326,9/21/13 18:00
41.50414933,-81.36642326,9/21/13 18:00
41.51984889,-81.36642326,9/21/13 18:00
41.53554844,-81.36642326,9/21/13 18:00
41.551248,-81.36642326,9/21/13 18:00
41.56694756,-81.36642326,9/21/13 18:00
41.58264711,-81.36642326,9/21/13 18:00
41.59834667,-81.36642326,9/21/13 18:00
41.61404622,-81.36642326,9/21/13 18:00
41.62974578,-81.36642326,9/21/13 18:00
41.64544533,-81.36642326,9/21/13 18:00
41.66114489,-81.36642326,9/21/13 18:00
41.67684444,-81.36642326,9/21/13 18:00
41.692544,-81.36642326,9/21/13 18:00
41.268656,-81.34688221,9/21/13 18:00
41.28435556,-81.34688221,9/21/13 18:00
41.30005511,-81.34688221,9/21/13 18:00
41.31575467,-81.34688221,9/21/13 18:00
41.33145422,-81.34688221,9/21/13 18:00
41.34715378,-81.34688221,9/21/13 18:00
41.36285333,-81.34688221,9/21/13 18:00
41.37855289,-81.34688221,9/21/13 18:00
41.39425244,-81.34688221,9/21/13 18:00
41.409952,-81.34688221,9/21/13 18:00
41.42565156,-81.34688221,9/21/13 18:00
41.44135111,-81.34688221,9/21/13 18:00
41.45705067,-81.34688221,9/21/13 18:00
41.47275022,-81.34688221,9/21/13 18:00
41.48844978,-81.34688221,9/21/13 18:00
41.50414933,-81.34688221,9/21/13 18:00
41.51984889,-81.34688221,9/21/13 18:00
41.53554844,-81.34688221,9/21/13 18:00
41.551248,-81.34688221,9/21/13 18:00
41.56694756,-81.34688221,9/21/13 18:00
41.58264711,-81.34688221,9/21/13 18:00
41.59834667,-81.34688221,9/21/13 18:00
41.61404622,-81.34688221,9/21/13 18:00
41.62974578,-81.34688221,9/21/13 18:00
41.64544533,-81.34688221,9/21/13 18:00
41.66114489,-81.34688221,9/21/13 18:00
41.67684444,-81.34688221,9/21/13 18:00
41.692544,-81.34688221,9/21/13 18:00
41.268656,-81.32734115,9/21/13 18:00
41.28435556,-81.32734115,9/21/13 18:00
41.30005511,-81.32734115,9/21/13 18:00
41.31575467,-81.32734115,9/21/13 18:00
41.33145422,-81.32734115,9/21/13 18:00
41.34715378,-81.32734115,9/21/13 18:00
